id	text	to	btnText						
1	Elizabeth was a girl about age twelve who was sitting outside her middle school, carefully distanced from the other students, and waiting for the bus. She looked down the road and found Vergil sitting next to her.	2	Elizabeth recognized Vergil as a part of her imagination and knew that the ensuing conversation wouldn’t reflect significantly on her moral character. Whatever happened, she wasn’t hurting anyone by thinking.	3	Elizabeth fell into a moral panic about whether or not dismissing her thought of Vergil was tantamount to murder.				
2	“Hi, Vergil,” Elizabeth said. “Nice to know you.”  “Looks like rain,” Vergil said.  “Does it rain in Hell? Sorry, that’s probably rude to ask, but since there’s virtually no filter between my thoughts and your perception, I think we’re going to have to roll with candor,” Elizabeth said.  “Naturally it doesn’t rain,” Vergil said. She’d heard that sentence structure before.  “I think my mental image of Bud Abbott is kind of slipping into you. Um,” Elizabeth said, trying not to imagine their “Who’s (in) (the) First (Circle)” routine since it felt disrespectful for some reason. “Do you prefer being out here or in Hell?”  “Well, at times my ability to leave also feels like a part of the punishment, but I try to be optimistic. In other words, it’s nice to have the variety.”  Elizabeth tried not to take it personally. She supposed it would feel a little degrading to be summoned at will by every twelve-year-old reading above their level. He seemed a little tough-love, a little no-patience. She tried harder to keep Bud Abbott in his own box.	4	“Why does it feel like punishment to leave?”	5	“Have you heard of vaudeville?”				
3	You’re not going to say anything new,” Vergil said. “You’re just going to spin around in circles and stumble off feeling guilty and dazed.”  “Regardless, the panic has taken its hold, and I will feel guilty regardless of where I jump off this train of thought. Thus I must keep the hope alive that I can create a solution to this problem,” Elizabeth said.  “What’s the problem?”  “If you’re meant to inspire empathy in me, and to simulate a real, breathing relationship, then to dismiss you says some troubling things. One: other people are useful only in how they help our own self-development. Two: other people are ultimately unknowable.”  “And even if you want to keep me in your life forever, you don’t know how to keep me existing except at enormous cost to yourself,” Vergil said. He was leaning forward on one elbow and staring down the empty road. "Plus the version of me that's talking to you right now is dying when you do."   “Precisely,” Elizabeth said.	63	“I’m still confused about Conclusion One,” Vergil said.	6	“I’m still confused about Conclusion Two,” Vergil said.	7	“Vergil, we have to get try to get married so that I can prove to myself that you are, in fact, a part of my imagination and not a person,” Elizabeth said.	8	“Oh my god, I’m not doing that,” Vergil said.
4	“Oh, it’s hard to get tastes of the living world and still be so separate. And I’m resigned to be a guide for living people who are usually wrapped up in their own business,” Vergil said.  “To try to make an excuse for myself: I don’t know much about you. I don’t want to get you wrong, so it’s easier if you listen just so I can hear myself talk,” Elizabeth said. Then she peeled the fantasy away from the reality carefully, like removing a sticker. “I'm not interested in you as a historical figure. I'm interested in what my fantasies tell me about myself."  Vergil sat next to her at the bus stop. She incorporated the thought experiment into her understanding of herself openly, not treating her thoughts as life-or-death identity conflicts with the person she wanted to believe she was. Over the course of years she grew out of the fantasy.	23	Back to start						
5	“Certainly. You can’t live in Limbo for that long without seeing—some of them,” Vergil said. Elizabeth wondered if Vergil’s strange repetition of “certainly” could be attributed to cultural exchange in Hell rather than her mind’s apparent categorization of Vergil as a straight-man. She wished she could make herself believe that story instead.  “Why the sense of shame?” Vergil asked.  “I’m worried I’m not interpreting you right,” said Elizabeth. “Thinking of you and, uh, the other poet as sort of a comic duo a lá Abbott and Costello is obviously anachronistic and inaccurate. He thought of you differently. To engage with the comparison feels like more of an amusing diversion than any rigorous analysis.”  “What is life if not an interesting diversion?”  “I thought life was like, one long test you never studied for, and then God judges you.”  Vergil didn’t say anything, just looked down the road as if willing the bus to come faster.  “Maybe not what you want to hear,” Elizabeth apologized.  …At this point, I’d like to encourage the reader to imagine that they have just realized that this entire story of Elizabeth and Vergil is not, in fact, reality, but is instead being projected on a screen in a classroom the reader is sitting in. Imagine a gym teacher (the acting health teacher) using a yardstick to point at Elizabeth’s head. The image warps as the projection screen wobbles.  “Next slide,” says the gym teacher. We zoom in on Elizabeth’s head, and see a miniature bus stop with Elizabeth and Vergil sitting inside the silhouette of her brain. An arrow points to the smaller Elizabeth’s head, which also recursively contains Elizabeth and Vergil, and is labeled “Empathy Muscle.”  “We see a definite increase in muscle strength after just four weeks of imaginative thinking,” the gym teacher says. “Thus ‘manufactured socialization’ may be good for the health in non-life-threateningly unsocial situations as well as in the aforementioned situations in which real human connection is absent.”	23	Back to start						
6	“If my ability to perceive people is only my ability to create imaginary images of them, to estimate who they are and what they want, then I’m just talking to myself all the time, like how I talk to myself through you.”  “But random events happen to people all the time. Even if you knew someone completely, they could change at any time without your knowing. You can’t know other people like how you know me. They can still surprise you.”  “Still, the fact that all of reality must be filtered through my brain in order for me to perceive it is unsettling. Even if they surprise me, who’s to say I won’t misremember the event so that it fits better into my internal story?”  “What do you want from me? The brain isn’t supposed to be a perfect record of everything that’s ever happened to you. It's trying to predict things accurately, thus your search for genuine 'surprise' may be fruitless.”  Elizabeth sulked. Vergil saw, for a moment, that she looked all twelve of her years.	9	“Stop looking at yourself through me,” Vergil said.	10	“I guess we’re in similar boats,” Vergil said.				
7	The whole thing seemed a little weird to Elizabeth, but she wasn’t sure why. Well—she’d thought he was about thirty. “This will be less weird if I wait until I’m twenty, since that’s the most obviously weird thing about this,” she thought. Vergil had stopped speaking to her and was holding his face in his hands, so she went ahead with her plan.  While growing up for the next eight years, Elizabeth felt distant from her peers. Instead of the cold, yawning void that her classmates were realizing was their future, Elizabeth knew exactly what was going to happen when she got older: she was going to make local news and ruin both her family name and any chance of getting hired by Starbucks when she tried to marry her imagination’s idea of the dead poet. Despite this, she decided to pretend to be normal while she could, and she enjoyed herself by going to parties, procrastinating on easy tasks, and bursting into tears at the first sign of sublime beauty.  When the time came, she put up a respectable fuss at the courthouse and was escorted out. She sat on the curb and blocked the fire lane, since it seemed like an aesthetically correct thing to do.  “Well?” Vergil said. “Happy?” Eight years was the longest he’d been outside of Hell for quite some time. He was twitchy being surrounded by Silicon Valley-types instead of Horace and friends.  “Very happy,” Elizabeth said. “I hate Starbucks.”  “What?”  “But this proves nothing to me. If I tried to marry a woman in 2002 and couldn’t, that wouldn’t mean that one or more of us wasn’t real. Besides, I don’t want the state to tell me who is and isn’t a person.”	15	“Well, live and learn. Bye,” Vergil said.	16	“Can’t you just talk to someone real and see the difference for yourself?” Vergil asked.				
8	“Good. That was a test,” Elizabeth said. “Well, now wait a minute. I thought that I could choose whether to think things before they became reality. Just by having the option of thinking about something, you seem to have read my mind.”  “I was just being polite before,” Vergil said. “I was pretending that you have some ability to filter your thoughts before they reach me, but I wanted to nip that one in the bud.”  “But then I really don’t have choice. If I can’t choose what you hear—even if you ignore it—then I might as well be selecting all the options all the time.”  “Uh,” said Vergil. If ghosts could sweat, then he would’ve been doing a good job of it.  “But then, do I have choice in what I say to anyone? If the thought just doesn’t occur to me to say something, then I can’t say it.”	39	“That’s supposed to be useful,” Vergil said.	38	“Do you even have a choice in the expressions your face makes?” Vergil asked.				
9	“I suppose referring to my age is a cheap attempt at pity,” Elizabeth said.  “Not just that,” Vergil said. “Thinking of thinking as posturing instead of a critical tool to discover things about the world—you’ll stop short of the destination.”  “Ah,” Elizabeth said. “Thinking in a certain way to perform to a nonexistent audience inside my head is a bad critical strategy.”  Vergil seemed on the verge of saying something, but instead he bit his thumb and turned the opposite direction.  “Ok, I’ll do stream of consciousness,” she said. “Maybe I’ll discover some truths about the world, or at least identify patterns about how I think, if I just say what I think. Ok. Here I am at the bus stop. We’ve identified that I exist on planet Earth. It’s cold. It’s getting dark out. These are the senses I rely on to know the state of the world. I feel empty just below my sternum, which is a fancy way of saying that I’m so lonely I want to walk into traffic. Whoops, that was an emotional outburst and I’m not supposed to be looking for pity. Is this apology not rational enough for you, you—you—Age of Reason intellectual?”  “Uh,” Vergil said. He seemed to be trying not to laugh. “Anachronism.”  “I see streets that were made by people who I don’t know. And the bench was made by someone I don’t know. And there’s a whole bunch of, like, material science that was developed by people I don’t know to make it possible. I can’t see the material science, just like I can’t see the time or energy spent building the roads, but I know they couldn’t exist without them, so.  “Why am I so concerned with what things are made of and where they come from? Why not how I could improve this stuff?”  “Knowing both is good,” Vergil said. He was falling asleep.  “Well, this is better than trying to deduce a coherent theory of what it means to be conscious and try to communicate with other people by spinning in circles inside my brain,” Elizabeth said. They sat in silence and waited for the bus together while Elizabeth watched the light change with the falling evening.	23	Back to start						
10	“I feel odd relating to you in our powerlessness, given that I’m the one wielding power over you, but let’s run with this train of thought,” Elizabeth said. “You are created by me, and everything about you is created by me, based off a kernel of history; second-hand, fictional accounts of you; and my current existential crisis-slash-emotional needs.”  “Likewise, your impression on everyone around you is void of your internal monologue. People don’t know what you don’t tell them, and they’ll still misunderstand you and misremember you. Your insistence on treating me as real seems to stem from a sympathetic pang that you, too, don’t seem to be fully real in the eyes of others.”  “And others aren’t fully real in my eyes. I can feel bad when they feel pain, but I will never be able to truly know them.”	11	“Is that such a bad thing?” Vergil asked.	12	“Can you have faith that they are also entire people, and not just very good automatons?” Vergil asked.				
